;01.02.2022 18:58:39;01.02.2022 16:59:49;01.02.2022 15:00:03;01.02.2022 13:00:13;01.02.2022 11:00:54;01.02.2022 09:01:45;01.02.2022 07:03:01;01.02.2022 05:04:19;01.02.2022 03:05:36;01.02.2022 00:58:47;31.01.2022 23:00:10;31.01.2022 21:01:13;31.01.2022 19:02:18;31.01.2022 17:03:30;31.01.2022 15:04:40;31.01.2022 1:07:00;31.01.2022 07:07:00;31.01.2022 09:05:00;31.01.2022 07:05:52;31.01.2022 04:58:56;31.01.2022 02:59:41;31.01.2022 01:00:12;30.01.2022 22:59:54;30.01.2022 20:59:35;30.01.2022 18:59:15
Ime;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena;Cena
Illuvium;560,255;553,358;566,013;548,348;546,564;554,71;553,998;556,554;535,793;540,274;537,658;535,424;539,182;526,661;514,97;513,412;513,412;510,296;506,971;509,977;508,264;521,025;514,277;513,101;531,434
Tribe;0,617017;0,618914;0,625823;0,614792;0,613973;0,620756;0,614614;0,615106;0,603927;0,607017;0,613117;0,610718;0,617126;0,616953;0,609487;0,609075;0,609075;0,608251;0,607917;0,608367;0,611442;0,611513;0,608419;0,606106;0,613539
NuCypher;0,44033247;0,4397688;0,44043972;0,43748775;0,43780239;0,43969959;0,44077752;0,44444144;0,43765533;0,44180738;0,4362336;0,438058;0,44072756;0,43109937;0,4305573;0,427263627;0,427263627;0,42067628;0,42018955;0,42073579;0,41926156;0,44104001;0,43666363;0,44139232;0,44708391
MOBOX;2,39882;2,36607;2,393269;2,375314;2,377988;2,388138;2,437984;2,44367;2,400726;2,406861;2,427703;2,41991;2,391808;2,348853;2,31419;2,316214;2,316214;2,320262;2,293247;2,301445;2,300421;2,421097;2,375105;2,373203;2,454156
Mask Network;5,5694;5,6377;5,613;5,6647;5,5039;5,6637;5,5738;5,5914;5,478;5,5097;5,4404;5,38;5,3981;5,2621;5,1282;5,108433333;5,108433333;5,0689;5,0796;5,0989;5,0898;5,3225;5,3036;5,3125;5,4859
Yield Guild Games;2,89962;2,720981;2,692761;2,667565;2,660786;2,687212;2,660509;2,684294;2,674508;2,716964;2,728827;2,74209;2,787767;2,548014;2,511808;2,500536333;2,500536333;2,477993;2,443859;2,470063;2,493319;2,593455;2,596087;2,600548;2,670646
Radicle;4,972099;4,955404;5,0958;5,042;5,0165;5,0415;5,0843;5,0522;5,1403;5,0133;5,0309;5,0953;5,1608;5,2255;5,4716;5,435366667;5,435366667;5,3629;5,1298;5,2155;5,0557;4,579168;4,554381;4,610717;4,639719
Gitcoin;7,1973;7,2832;7,2527;7,4679;7,053;6,9323;6,8751;6,7553;6,5394;6,5246;6,5079;6,4676;6,4227;6,3178;6,1646;6,187733333;6,187733333;6,234;6,2629;6,3106;6,2876;6,5317;6,4749;6,4115;6,7184
Clover Finance;0,3106449;0,3040722;0,3083789;0,3072134;0,302362;0,3079746;0,3044484;0,3056816;0,303212;0,306504;0,3091423;0,3053043;0,3059217;0,3010084;0,295914;0,294364333;0,294364333;0,291265;0,2895695;0,2888018;0,2888984;0,3015936;0,2991339;0,300099;0,3090152
SuperRare;0,480654;0,4810031;0,4834528;0,4901208;0,4944508;0,509137;0,520767;0,513331;0,472654;0,469557;0,4712861;0,4744233;0,4807341;0,4814348;0,456834;0,458403667;0,458403667;0,461543;0,453629;0,4511407;0,4521888;0,4613664;0,4653194;0,478002;0,4967599
BarnBridge;8,8476;8,7399;8,7359;8,7281;8,7685;8,8387;8,7774;9,0635;8,811;8,812;8,7397;8,6251;8,7049;8,5569;8,4572;8,503;8,503;8,5946;8,6423;8,9242;9,0258;9,1824;9,0638;8,985;9,2525
Tornado Cash;19,8047;19,8091;19,9513;19,6847;19,7958;19,7958;19,9672;19,8292;19,8871;19,896;20,2056;20,2409;20,5137;20,5436;19,5339;19,60666667;19,60666667;19,7522;18,692;18,6017;18,276;18,8316;18,5319;18,5271;18,9451
Gala;0,18279094;0,1793048;0,18372963;0,18283879;0,18346896;0,18042516;0,17861199;0,18092148;0,17588782;0,1762774;0,17490676;0,1760153;0,17334077;0,17064979;0,16667888;0,166178623;0,166178623;0,16517811;0,16483945;0,16490403;0,16451098;0,17047323;0,16810786;0,16969071;0,177143
Quant;89,01;87,7542;88,0999;86,4316;85,2455;85,6418;85,1127;86,4967;86,5841;86,4367;85,9526;85,351;85,9792;83,9232;83,5183;83,48783333;83,48783333;83,4269;81,2229;79,9138;81,9235;84,9413;84,7097;84,1894;86,9458
Livepeer;23,739;23,7656;23,9497;23,913;23,7603;24,105;23,9847;24,4614;24,2542;24,0864;24,3339;24,2436;24,6164;24,3377;23,428;23,26666667;23,26666667;22,944;22,7083;22,853;22,603;23,5699;23,2031;23,0914;23,7267
